web-scraper-order,web-scraper-start-url,Rank,Player Name,Team,Successful,Errors,Attempts,Average Per Match,Success,Total
"1741284357-1","https://en.volleyballworld.com/volleyball/competitions/volleyball-nations-league/2023/finals-statistics/men/best-setters/","1","Christenson","USA","100","0","156","33.33","39.06","256"
"1741284357-2","https://en.volleyballworld.com/volleyball/competitions/volleyball-nations-league/2023/finals-statistics/men/best-setters/","2","Giannelli","ITA","75","1","151","25.00","33.04","227"
"1741284357-3","https://en.volleyballworld.com/volleyball/competitions/volleyball-nations-league/2023/finals-statistics/men/best-setters/","3","Sekita","JPN","74","0","203","24.67","26.71","277"
"1741284357-4","https://en.volleyballworld.com/volleyball/competitions/volleyball-nations-league/2023/finals-statistics/men/best-setters/","4","Janusz","POL","65","1","162","21.67","28.51","228"
"1741284357-5","https://en.volleyballworld.com/volleyball/competitions/volleyball-nations-league/2023/finals-statistics/men/best-setters/","5","Brizard","FRA","25","0","46","25.00","35.21","71"
"1741284357-6","https://en.volleyballworld.com/volleyball/competitions/volleyball-nations-league/2023/finals-statistics/men/best-setters/","6","De Cecco","ARG","19","0","36","19.00","34.55","55"
"1741284357-7","https://en.volleyballworld.com/volleyball/competitions/volleyball-nations-league/2023/finals-statistics/men/best-setters/","7","Toniutti","FRA","12","0","34","12.00","26.09","46"
"1741284357-8","https://en.volleyballworld.com/volleyball/competitions/volleyball-nations-league/2023/finals-statistics/men/best-setters/","8","Ropret","SLO","9","1","35","9.00","20.00","45"
"1741284357-9","https://en.volleyballworld.com/volleyball/competitions/volleyball-nations-league/2023/finals-statistics/men/best-setters/","8","Bruno","BRA","9","0","25","9.00","26.47","34"
"1741284357-10","https://en.volleyballworld.com/volleyball/competitions/volleyball-nations-league/2023/finals-statistics/men/best-setters/","8","Fernando","BRA","9","0","29","9.00","23.68","38"
"1741284357-11","https://en.volleyballworld.com/volleyball/competitions/volleyball-nations-league/2023/finals-statistics/men/best-setters/","9","Planinšič","SLO","7","0","26","7.00","21.21","33"
"1741284357-12","https://en.volleyballworld.com/volleyball/competitions/volleyball-nations-league/2023/finals-statistics/men/best-setters/","10","Sanchez Pages","ARG","5","0","9","5.00","35.71","14"
"1741284357-13","https://en.volleyballworld.com/volleyball/competitions/volleyball-nations-league/2023/finals-statistics/men/best-setters/","11","Eiro","JPN","4","1","13","1.33","22.22","18"
"1741284357-14","https://en.volleyballworld.com/volleyball/competitions/volleyball-nations-league/2023/finals-statistics/men/best-setters/","12","Ma'a","USA","3","0","2","1.00","60.00","5"
"1741284357-15","https://en.volleyballworld.com/volleyball/competitions/volleyball-nations-league/2023/finals-statistics/men/best-setters/","13","Sbertoli","ITA","2","0","1","0.67","66.67","3"
"1741284357-16","https://en.volleyballworld.com/volleyball/competitions/volleyball-nations-league/2023/finals-statistics/men/best-setters/","14","Ran","JPN","1","0","12","0.33","7.69","13"
"1741284357-17","https://en.volleyballworld.com/volleyball/competitions/volleyball-nations-league/2023/finals-statistics/men/best-setters/","14","Ishikawa","JPN","1","1","13","0.33","6.67","15"
"1741284357-18","https://en.volleyballworld.com/volleyball/competitions/volleyball-nations-league/2023/finals-statistics/men/best-setters/","14","Śliwka","POL","1","0","13","0.33","7.14","14"
"1741284357-19","https://en.volleyballworld.com/volleyball/competitions/volleyball-nations-league/2023/finals-statistics/men/best-setters/","15","Anderson","USA","0","0","4","0.00","0.00","4"
"1741284357-20","https://en.volleyballworld.com/volleyball/competitions/volleyball-nations-league/2023/finals-statistics/men/best-setters/","15","Jendryk","USA","0","0","0","","","0"
"1741284357-21","https://en.volleyballworld.com/volleyball/competitions/volleyball-nations-league/2023/finals-statistics/men/best-setters/","15","Defalco","USA","0","1","11","0.00","0.00","12"
"1741284357-22","https://en.volleyballworld.com/volleyball/competitions/volleyball-nations-league/2023/finals-statistics/men/best-setters/","15","Hanes","USA","0","0","1","0.00","0.00","1"
"1741284357-23","https://en.volleyballworld.com/volleyball/competitions/volleyball-nations-league/2023/finals-statistics/men/best-setters/","15","Dagostino","USA","0","0","0","","","0"
"1741284357-24","https://en.volleyballworld.com/volleyball/competitions/volleyball-nations-league/2023/finals-statistics/men/best-setters/","15","Holt","USA","0","0","5","0.00","0.00","5"
"1741284357-25","https://en.volleyballworld.com/volleyball/competitions/volleyball-nations-league/2023/finals-statistics/men/best-setters/","15","Jaeschke","USA","0","1","8","0.00","0.00","9"
"1741284357-26","https://en.volleyballworld.com/volleyball/competitions/volleyball-nations-league/2023/finals-statistics/men/best-setters/","15","Muagututia","USA","0","0","2","0.00","0.00","2"
"1741284357-27","https://en.volleyballworld.com/volleyball/competitions/volleyball-nations-league/2023/finals-statistics/men/best-setters/","15","Averill","USA","0","0","0","","","0"
"1741284357-28","https://en.volleyballworld.com/volleyball/competitions/volleyball-nations-league/2023/finals-statistics/men/best-setters/","15","Smith","USA","0","1","3","0.00","0.00","4"
"1741284357-29","https://en.volleyballworld.com/volleyball/competitions/volleyball-nations-league/2023/finals-statistics/men/best-setters/","15","E. Shoji","USA","0","0","20","0.00","0.00","20"
"1741284357-30","https://en.volleyballworld.com/volleyball/competitions/volleyball-nations-league/2023/finals-statistics/men/best-setters/","15","Chinenyeze","FRA","0","0","1","0.00","0.00","1"
